age_group,percent_age_all,percent_age_male,percent_age_female
15_19,0.182858509,0.092275144,0.090583365
20_24,0.154455185,0.077765239,0.076689945
25_29,0.131415018,0.065884475,0.065530542
30_34,0.112678382,0.056863978,0.055814404
35_39,0.09372484,0.048060567,0.045664272
40_44,0.077608922,0.040757479,0.036851443
45_49,0.064352002,0.034535571,0.029816431
50_54,0.052900976,0.028916655,0.023984321
55_59,0.042521077,0.023530584,0.018990493
60_64,0.034115072,0.019089301,0.015025771
65_69,0.025116582,0.013954099,0.011162482
70_74,0.015904898,0.008760572,0.007144326
75_79,0.008182488,0.004420634,0.003761854
80+,0.004166052,0.002173592,0.002083026
1,0.11395447,0.11394764,0.113961364
2,0.11395447,0.11394764,0.113961364
3,0.11395447,0.11394764,0.113961364
4,0.11395447,0.11394764,0.113961364
5,0.108836424,0.108841888,0.108830909
6,0.108836424,0.108841888,0.108830909
7,0.108836424,0.108841888,0.108830909
8,0.108836424,0.108841888,0.108830909
9,0.108836424,0.108841888,0.108830909
